"Age","CountryYear","Code","Year","Births","Exposure","ASFR","AgeGrLabel"
"15","BGR1964","BGR",1964,23415,333689.17,0.0701700927243159,"15-19"
"20","BGR1964","BGR",1964,52445,284640.16,0.184250177487253,"20-24"
"25","BGR1964","BGR",1964,31970,297446.46,0.107481527936154,"25-29"
"30","BGR1964","BGR",1964,15647,324566.59,0.048208905297369,"30-34"
"35","BGR1964","BGR",1964,5614,331558.96,0.0169321317692636,"35-39"
"40","BGR1964","BGR",1964,1553,309805.65,0.00501282013417121,"40-44"
"45","BGR1964","BGR",1964,142,195380.99,0.000726785139127404,"45-49"
"50","BGR1964","BGR",1964,21.01,239879.49,0.0000875856456089681,"50-54"
"10","BGR1965","BGR",1965,167,204046.29,0.000818441736921558,"10-14"
"15","BGR1965","BGR",1965,23268,343562.29,0.0677257099433119,"15-19"
"20","BGR1965","BGR",1965,50658,287774.69,0.176033549024065,"20-24"
"25","BGR1965","BGR",1965,30000,286477.61,0.104720225779599,"25-29"
"30","BGR1965","BGR",1965,14663,326126.48,0.0449610838101831,"30-34"
"35","BGR1965","BGR",1965,5437,325331.99,0.0167121591700835,"35-39"
"40","BGR1965","BGR",1965,1429,322117.96,0.0044362630385465,"40-44"
"45","BGR1965","BGR",1965,138,196214.92,0.000703310431235301,"45-49"
"50","BGR1965","BGR",1965,31.01,242978.25,0.000127624591913062,"50-54"
"10","BGR1966","BGR",1966,149,197983.3,0.000752588728443258,"10-14"
"15","BGR1966","BGR",1966,22379,344165.75,0.0650239020007075,"15-19"
"20","BGR1966","BGR",1966,51930,296496.15,0.175145613189244,"20-24"
"25","BGR1966","BGR",1966,28800,283706.81,0.101513248836008,"25-29"
"30","BGR1966","BGR",1966,13437,321897.26,0.0417431325759033,"30-34"
"35","BGR1966","BGR",1966,4916,320998.61,0.0153147080605738,"35-39"
"40","BGR1966","BGR",1966,1261,328598.61,0.00383750862488432,"40-44"
"45","BGR1966","BGR",1966,142,211776.19,0.000670519192927212,"45-49"
"50","BGR1966","BGR",1966,25,235964.33,0.000105948216834299,"50-54"
"10","BGR1967","BGR",1967,163,200120.66,0.000814508606957423,"10-14"
"15","BGR1967","BGR",1967,23143,342374.57,0.0675955576957716,"15-19"
"20","BGR1967","BGR",1967,54148,307064.16,0.176340996617775,"20-24"
"25","BGR1967","BGR",1967,28316,279884.63,0.101170257187756,"25-29"
"30","BGR1967","BGR",1967,12754,316824.13,0.040255772185029,"30-34"
"35","BGR1967","BGR",1967,4633,318317.98,0.0145546286766459,"35-39"
"40","BGR1967","BGR",1967,1265,330586.16,0.00382653647690514,"40-44"
"45","BGR1967","BGR",1967,145,246485.7,0.000588269420903525,"45-49"
"50","BGR1967","BGR",1967,14.99,213430.67,0.0000702335798318021,"50-54"
"10","BGR1968","BGR",1968,172,199945.76,0.000860233295269677,"10-14"
"15","BGR1968","BGR",1968,25625,342695.77,0.0747747776402376,"15-19"
"20","BGR1968","BGR",1968,62229,316288.05,0.196747869544866,"20-24"
